mmalloca,gnuit-4.9.5/lib/malloca.c,7,2,2,1,0,3,2
malloc,/usr/include/stdlib.h,,,,,,,
memcpy,/usr/include/string.h,,,,,,,
strnlen,gnuit-4.9.5/lib/strnlen.c,6,1,2,0,0,4,2
strndup,gnuit-4.9.5/lib/strndup.c,10,2,2,1,1,3,4
error,gnuit-4.9.5/lib/error.c,14,2,2,1,1,10,5
abort,/usr/include/stdlib.h,,,,,,,
xstrtol_error,gnuit-4.9.5/lib/xstrtol-error.c,36,7,6,1,7,8,2
xstrtol_fatal,gnuit-4.9.5/lib/xstrtol-error.c,8,1,1,0,0,6,2
fnmatch,gnuit-4.9.5/lib/fnmatch.c,6,1,1,0,0,4,3
locale_charset,gnuit-4.9.5/lib/localcharset.c,32,48,8,3,2,1,5
uc_width,gnuit-4.9.5/lib/uniwidth/width.c,48,19,12,4,19,5,2
strcmp,/usr/include/string.h,,,,,,,
iswprint,/usr/include/x86_64-linux-gnu/bits/wctype-wchar.h,,,,,,,
rpl_wcwidth,gnuit-4.9.5/lib/wcwidth.c,13,2,4,1,1,1,5
strip_trailing_slashes,gnuit-4.9.5/lib/stripslash.c,13,2,2,1,0,2,3
xstrdup,gnuit-4.9.5/lib/xmalloc.c,5,1,1,0,0,29,3
rename,/usr/include/stdio.h,,,,,,,
free,/usr/include/stdlib.h,,,,,,,
strlen,/usr/include/string.h,,,,,,,
rpl_rename,gnuit-4.9.5/lib/rename.c,18,4,3,1,1,2,6
quotearg_alloc_mem,gnuit-4.9.5/lib/quotearg.h,17,2,4,1,0,9,5
usage,gnuit-4.9.5/src/gitview.c,10,1,1,0,0,2,1
xcharalloc,gnuit-4.9.5/lib/xalloc.h,,,,,,,
xmemdup,gnuit-4.9.5/lib/xmalloc.c,5,1,1,0,0,4,3
xrealloc,gnuit-4.9.5/lib/xmalloc.c,8,2,2,1,1,38,3
__ctype_b_loc,/usr/include/ctype.h,,,,,,,
__errno_location,/usr/include/errno.h,,,,,,,
__ctype_get_mb_cur_max,/usr/include/stdlib.h,,,,,,,
memcmp,/usr/include/string.h,,,,,,,
memset,/usr/include/string.h,,,,,,,
mbrtowc,/usr/include/wchar.h,,,,,,,
mbsinit,gnuit-4.9.5/lib/mbsinit.c,6,1,1,0,0,3,1
clone_quoting_options,gnuit-4.9.5/lib/quotearg.c,9,1,2,0,0,2,3
get_quoting_style,gnuit-4.9.5/lib/quotearg.c,5,1,2,0,0,3,1
gettext_quote,gnuit-4.9.5/lib/quotearg.c,8,2,2,1,0,3,1
quotearg,gnuit-4.9.5/lib/quotearg.c,5,1,1,0,0,1,2
quotearg_alloc,gnuit-4.9.5/lib/quotearg.c,6,1,1,0,0,3,2
quotearg_buffer,gnuit-4.9.5/lib/quotearg.c,12,1,2,0,0,9,3
quotearg_buffer_restyled,gnuit-4.9.5/lib/quotearg.c,298,38277377,214,8,348,10,12
quotearg_char,gnuit-4.9.5/lib/quotearg.c,5,1,1,0,0,3,2
quotearg_char_mem,gnuit-4.9.5/lib/quotearg.c,8,1,1,0,0,6,3
quotearg_colon,gnuit-4.9.5/lib/quotearg.c,5,1,1,0,0,1,2
quotearg_colon_mem,gnuit-4.9.5/lib/quotearg.c,5,1,1,0,0,2,2
quotearg_free,gnuit-4.9.5/lib/quotearg.c,20,8,4,1,0,5,6
quotearg_mem,gnuit-4.9.5/lib/quotearg.c,5,1,1,0,0,2,2
quotearg_n,gnuit-4.9.5/lib/quotearg.c,5,1,1,0,0,4,2
quotearg_n_mem,gnuit-4.9.5/lib/quotearg.c,5,1,1,0,0,5,2
quotearg_n_options,gnuit-4.9.5/lib/quotearg.c,41,11,9,2,3,18,13
quotearg_n_style,gnuit-4.9.5/lib/quotearg.c,6,1,1,0,0,6,3
quotearg_n_style_mem,gnuit-4.9.5/lib/quotearg.c,7,1,1,0,0,5,3
quotearg_style,gnuit-4.9.5/lib/quotearg.c,5,1,1,0,0,2,2
quotearg_style_mem,gnuit-4.9.5/lib/quotearg.c,5,1,1,0,0,3,2
quoting_options_from_style,gnuit-4.9.5/lib/quotearg.c,9,1,1,0,0,4,4
set_char_quoting,gnuit-4.9.5/lib/quotearg.c,11,1,2,0,0,6,1
set_quoting_flags,gnuit-4.9.5/lib/quotearg.c,10,2,2,1,0,4,2
set_quoting_style,gnuit-4.9.5/lib/quotearg.c,5,1,2,0,0,3,2
dcnpgettext_expr,gnuit-4.9.5/lib/gettext.h,21,2,4,1,1,6,3
dcpgettext_expr,gnuit-4.9.5/lib/gettext.h,20,2,2,1,1,4,3
npgettext_aux,gnuit-4.9.5/lib/gettext.h,14,2,4,1,1,6,1
pgettext_aux,gnuit-4.9.5/lib/gettext.h,12,2,2,1,1,4,1
exit,gnuit-4.9.5/src/ansi_stdlib.h,,,,,,,
fprintf,/usr/include/stdio.h,,,,,,,
time,/usr/include/time.h,,,,,,,
close,gnuit-4.9.5/src/gitwipe.c,,,,,,,
fatal,gnuit-4.9.5/src/gitview.c,8,1,1,0,0,13,3
lseek,gnuit-4.9.5/src/gitwipe.c,,,,,,,
hide,gnuit-4.9.5/src/gitview.c,7,1,1,0,0,3,3
rand,gnuit-4.9.5/src/gitwipe.c,,,,,,,
srand,gnuit-4.9.5/src/gitwipe.c,,,,,,,
sync,gnuit-4.9.5/src/gitwipe.c,,,,,,,
update_all,gnuit-4.9.5/src/gitview.c,11,2,2,1,0,6,3
wipe,gnuit-4.9.5/src/gitwipe.c,38,8,8,2,6,4,8
write,gnuit-4.9.5/src/gitwipe.c,,,,,,,
argmatch,gnuit-4.9.5/lib/argmatch.c,33,11,7,4,6,6,4
xstrtoumax,gnuit-4.9.5/lib/xstrtol.h,,,,,,,
localeconv,/usr/include/locale.h,,,,,,,
sprintf,/usr/include/stdio.h,,,,,,,
getenv,/usr/include/stdlib.h,,,,,,,
memmove,gnuit-4.9.5/lib/memmove.c,15,5,5,2,1,7,1
adjust_value,gnuit-4.9.5/lib/human.c,10,2,2,1,0,3,1
default_block_size,gnuit-4.9.5/lib/human.c,5,1,2,0,0,2,2
group_number,gnuit-4.9.5/lib/human.c,30,9,6,2,2,5,3
human_options,gnuit-4.9.5/lib/human.c,11,2,2,1,0,3,4
human_readable,gnuit-4.9.5/lib/human.c,194,5880,36,5,11,11,8
humblock,gnuit-4.9.5/lib/human.c,46,17,9,5,7,5,7
xmalloc,gnuit-4.9.5/lib/xmalloc.c,8,2,2,1,1,77,3
atoi,gnuit-4.9.5/src/ansi_stdlib.h,,,,,,,
